Threshold, Mispredicted, Unpredicted, Accuracy
58,9,11,93.3775
58.05,9,11,93.3775
58.1,9,11,93.3775
58.15,9,11,93.3775
58.2,9,11,93.3775
58.25,9,11,93.3775
58.3,9,11,93.3775
58.35,9,11,93.3775
58.4,9,11,93.3775
58.45,9,11,93.3775
58.5,9,11,93.3775
58.55,9,11,93.3775
58.6,9,11,93.3775
58.65,9,10,93.7086
58.7,9,10,93.7086
58.75,9,10,93.7086
58.8,9,10,93.7086
58.85,9,10,93.7086
58.9,9,10,93.7086
58.95,9,10,93.7086
59,9,10,93.7086
59.05,9,10,93.7086
59.1,9,10,93.7086
59.15,9,10,93.7086
59.2,9,10,93.7086
59.25,9,10,93.7086
59.3,9,10,93.7086
59.35,9,10,93.7086
59.4,9,10,93.7086
59.45,9,10,93.7086
59.5,9,10,93.7086
59.55,9,10,93.7086
59.6,9,10,93.7086
59.65,9,10,93.7086
59.7,9,10,93.7086
59.75,9,10,93.7086
59.8,9,10,93.7086
59.85,9,10,93.7086
59.9,9,10,93.7086
59.95,9,10,93.7086
60,9,10,93.7086
60.05,9,10,93.7086
60.1,9,10,93.7086
60.15,9,10,93.7086
60.2,9,10,93.7086
60.25,9,10,93.7086
60.3,9,10,93.7086
60.35,9,10,93.7086
60.4,9,10,93.7086
60.45,9,10,93.7086
60.5,9,10,93.7086
60.55,9,10,93.7086
60.6,9,10,93.7086
60.65,9,10,93.7086
60.7,9,10,93.7086
60.75,9,10,93.7086
60.8,9,10,93.7086
60.85,9,10,93.7086
60.9,9,10,93.7086
60.95,9,10,93.7086
61,9,10,93.7086
61.05,9,10,93.7086
61.1,9,10,93.7086
61.15,9,10,93.7086
61.2,9,10,93.7086
61.25,9,10,93.7086
61.3,9,10,93.7086
61.35,9,10,93.7086
61.4,9,10,93.7086
61.45,9,10,93.7086
61.5,9,10,93.7086
61.55,9,10,93.7086
61.6,9,10,93.7086
61.65,9,10,93.7086
61.7,9,10,93.7086
61.75,9,10,93.7086
61.8,9,10,93.7086
61.85,9,10,93.7086
61.9,10,9,93.7086
61.95,10,9,93.7086
62,10,9,93.7086
62.05,10,9,93.7086
62.1,10,9,93.7086
62.15,10,9,93.7086
62.2,10,9,93.7086
62.25,10,9,93.7086
62.3,10,9,93.7086
62.35,10,9,93.7086
62.4,10,9,93.7086
62.45,10,9,93.7086
62.5,10,9,93.7086
62.55,10,9,93.7086
62.6,10,9,93.7086
62.65,10,9,93.7086
62.7,10,9,93.7086
62.75,10,9,93.7086
62.8,10,9,93.7086
62.85,10,9,93.7086
62.9,10,9,93.7086
62.95,11,8,93.7086
63,11,8,93.7086
63.05,11,8,93.7086
63.1,11,8,93.7086
63.15,11,8,93.7086
63.2,11,8,93.7086
63.25,12,7,93.7086
63.3,12,7,93.7086
63.35,12,7,93.7086
63.4,12,7,93.7086
63.45,12,7,93.7086
63.5,12,7,93.7086
63.55,12,7,93.7086
63.6,12,7,93.7086
63.65,12,7,93.7086
63.7,13,6,93.7086
63.75,13,6,93.7086
63.8,13,6,93.7086
63.85,13,6,93.7086
63.9,13,6,93.7086
63.95,13,6,93.7086
64,13,6,93.7086
64.05,13,6,93.7086
64.1,13,6,93.7086
64.15,13,6,93.7086
64.2,13,6,93.7086
64.25,13,6,93.7086
64.3,13,6,93.7086
64.35,13,6,93.7086
64.4,13,6,93.7086
64.45,13,6,93.7086
64.5,13,6,93.7086
64.55,13,6,93.7086
64.6,13,6,93.7086
64.65,13,6,93.7086
64.7,13,6,93.7086
64.75,13,6,93.7086
64.8,13,6,93.7086
64.85,13,6,93.7086
64.9,13,6,93.7086
64.95,13,6,93.7086
65,13,6,93.7086
